Angle,Bandgap_Number,Width
5,1,0.14758
5,2,0.173372
5,3,0.157935
5,4,0.130276
5,5,0.113021000000001
5,6,0.146276
5,7,0.183566000000001
6,1,0.134978
6,2,0.166511
6,3,0.137984
6,4,0.104369
6,5,0.153412
6,6,0.185281
6,7,0.175106
7,1,0.108005
7,2,0.101293
7,3,0.114699
7,4,0.103515
7,5,0.101426
7,6,0.19196
7,7,0.173840999999999
7,8,0.105982000000001
8,1,0.138646
8,2,0.164916
8,3,0.177919
8,4,0.136251
8,5,0.113373
8,6,0.111224
8,7,0.156108
8,8,0.108267
9,1,0.102385
9,2,0.118265
9,3,0.114388
9,4,0.110396
9,5,0.150009000000001
10,1,0.105172
10,2,0.111161
10,3,0.115191
10,4,0.154302
10,5,0.104443
11,1,0.10356
11,2,0.113176
11,3,0.123836
11,4,0.106323000000001
12,1,0.127894
12,2,0.105279
12,3,0.127131
12,4,0.120392000000001
12,5,0.143163
12,6,0.111444
12,7,0.133739
13,1,0.13373
13,2,0.17963
13,3,0.111009
13,4,0.120877
13,5,0.110434
14,1,0.233181
14,2,0.117026
14,3,0.103935
14,4,0.102028999999999
15,1,0.287697000000001
15,2,0.108865
15,3,0.104568
15,4,0.104044
16,1,0.341199
17,1,0.384145
17,2,0.134753000000001
18,1,0.428203000000001
18,2,0.100919999999999
18,3,0.109238
19,1,0.473338
20,1,0.519511000000001
21,1,0.565556
22,1,0.61094
23,1,0.65718
24,1,0.704253
24,2,0.10136
25,1,0.748622
25,2,0.103244999999999
26,1,0.793728000000001
26,2,0.105090000000001
26,3,0.100897
27,1,0.835685
27,2,0.101710000000001
27,3,0.105917
27,4,0.100308
28,1,0.875966999999999
28,2,0.10749
28,3,0.103675000000001
29,1,0.913192
29,2,0.102679
29,3,0.105797000000001
30,1,0.104737
30,2,0.941041999999999
30,3,0.100514
31,1,0.889629999999999
31,2,0.103236000000001
32,1,0.801981
32,2,0.114281
32,3,0.114081000000001
32,4,0.113905000000001
32,5,0.112962
32,6,0.110078999999999
32,7,0.105724
32,8,0.100710999999999
33,1,0.112642
33,2,0.109871
33,3,0.106389
33,4,0.719436
34,1,0.63921
35,1,0.560921
35,2,0.103427
35,3,0.106085
36,1,0.100888
36,2,0.48749
36,3,0.106018000000001
36,4,0.102364
37,1,0.418769
37,2,0.100007000000002
38,1,0.354606
38,2,0.100824999999999
39,1,0.294810999999999
39,2,0.101025000000001
40,1,0.2379
41,1,0.164473
41,2,0.19233
42,1,0.287637999999999
43,1,0.380724000000001
44,1,0.471376
45,1,0.558070000000001
46,1,0.641249
47,1,0.721357
48,1,0.798182000000001
49,1,0.871569
50,1,0.941102
51,1,1.006482
52,1,1.068247
53,1,1.126319
54,1,1.180638
55,1,1.231152
56,1,1.265622
57,1,1.262396
58,1,1.227252
59,1,1.124639
60,1,1.019113
61,1,0.910346
62,1,0.799071
63,1,0.686042
64,1,0.571759999999999
65,1,0.456773
66,1,0.341676000000001
67,1,0.227088
68,1,0.113673
