Angle,Bandgap_Number,Start_Frequency,End_Frequency
5,1,3.245573,3.393153
5,2,3.462677,3.636049
5,3,3.695998,3.853933
5,4,7.140403,7.270679
5,5,7.356519,7.46954
5,6,7.807522,7.953798
5,7,8.014679,8.198245
6,1,3.03865,3.173628
6,2,3.225646,3.392157
6,3,3.465732,3.603716
6,4,3.700536,3.804905
6,5,7.677556,7.830968
6,6,7.881337,8.066618
6,7,8.073268,8.248374
7,1,3.05139,3.159395
7,2,3.372306,3.473599
7,3,3.585853,3.700552
7,4,3.810762,3.914277
7,5,7.18458,7.286006
7,6,7.748665,7.940625
7,7,7.944174,8.118015
7,8,8.545181,8.651163
8,1,3.158261,3.296907
8,2,3.356603,3.521519
8,3,3.560085,3.738004
8,4,3.77846,3.914711
8,5,7.293871,7.407244
8,6,7.492369,7.603593
8,7,7.830699,7.986807
8,8,8.321395,8.429662
9,1,3.187085,3.28947
9,2,7.32038,7.438645
9,3,7.516374,7.630762
9,4,7.745212,7.855608
9,5,8.021446,8.171455
10,1,3.087187,3.192359
10,2,3.25733,3.368491
10,3,3.712605,3.827796
10,4,7.891808,8.04611
10,5,8.059497,8.16394
11,1,3.390576,3.494136
11,2,3.575221,3.688397
11,3,7.794506,7.918342
11,4,7.955934,8.062257
12,1,3.581064,3.708958
12,2,3.76628,3.871559
12,3,5.46117,5.588301
12,4,7.154405,7.274797
12,5,7.317266,7.460429
12,6,7.523393,7.634837
12,7,7.936522,8.070261
13,1,3.471759,3.605489
13,2,5.425539,5.605169
13,3,7.208454,7.319463
13,4,7.386995,7.507872
13,5,7.837098,7.947532
14,1,5.388739,5.62192
14,2,7.385901,7.502927
14,3,7.581955,7.68589
14,4,7.952409,8.054438
15,1,5.350832,5.638529
15,2,7.700544,7.809409
15,3,7.847478,7.952046
15,4,8.064852,8.168896
16,1,5.311866,5.653065
17,1,5.271883,5.656028
17,2,7.324634,7.459387
18,1,5.230922,5.659125
18,2,7.342774,7.443694
18,3,7.485149,7.594387
19,1,5.189021,5.662359
20,1,5.146221,5.665732
21,1,5.103694,5.66925
22,1,5.061972,5.672912
23,1,5.019544,5.676724
24,1,4.976434,5.680687
24,2,10.479627,10.580987
25,1,4.936185,5.684807
25,2,10.502558,10.605803
26,1,4.895356,5.689084
26,2,10.526767,10.631857
26,3,10.941636,11.042533
27,1,4.857838,5.693523
27,2,10.552244,10.653954
27,3,10.659129,10.765046
27,4,11.075291,11.175599
28,1,4.822161,5.698128
28,2,10.687589,10.795079
28,3,10.797585,10.90126
29,1,4.789711,5.702903
29,2,10.826186,10.928865
29,3,10.933684,11.039481
30,1,0.774868,0.879605
30,2,4.766808,5.70785
30,3,11.178498,11.279012
31,1,4.823341,5.712971
31,2,10.44825,10.551486
32,1,4.916294,5.718275
32,2,10.463506,10.577787
32,3,10.581259,10.69534
32,4,10.697638,10.811543
32,5,10.812428,10.92539
32,6,10.926185,11.036264
32,7,11.039037,11.144761
32,8,11.149855,11.250566
33,1,0.590077,0.702719
33,2,0.70454,0.814411
33,3,0.816946,0.923335
33,4,5.004325,5.723761
34,1,5.08747,5.72668
35,1,5.165787,5.726708
35,2,10.694149,10.797576
35,3,10.801349,10.907434
36,1,0.745258,0.846146
36,2,5.239375,5.726865
36,3,10.478347,10.584365
36,4,10.587312,10.689676
37,1,5.30835,5.727119
37,2,10.886031,10.986038
38,1,5.37287,5.727476
38,2,7.610197,7.711022
39,1,5.433099,5.72791
39,2,7.604276,7.705301
40,1,5.489226,5.727126
41,1,5.54146,5.705933
41,2,7.833083,8.025413
42,1,7.782389,8.070027
43,1,7.732218,8.112942
44,1,7.682633,8.154009
45,1,7.63369,8.19176
46,1,7.585443,8.226692
47,1,7.537938,8.259295
48,1,7.49122,8.289402
49,1,7.445331,8.3169
50,1,7.400305,8.341407
51,1,7.35618,8.362662
52,1,7.312984,8.381231
53,1,7.270746,8.397065
54,1,7.229492,8.41013
55,1,7.189241,8.420393
56,1,7.150018,8.41564
57,1,7.144042,8.406438
58,1,7.146211,8.373463
59,1,7.149134,8.273773
60,1,7.152793,8.171906
61,1,7.157849,8.068195
62,1,7.163948,7.963019
63,1,7.170761,7.856803
64,1,7.178264,7.750024
65,1,7.18642,7.643193
66,1,7.195186,7.536862
67,1,7.204524,7.431612
68,1,7.214369,7.328042
